Column,Description,Type,Example
DatumLetzteAktualisierung,Datum der letzten Aktualisierung an diesem Objekt,dateTime,2017-07-25T08:36:54.1004464
LokationMastrNummer,MaStR-Nummer der Lokation,string,SEL91234567890
NetzbetreiberpruefungStatus,"Der Status der letzten Netzbetreiberprüfung, insofern eine durchgeführt wurde",string,Geprueft
NetzbetreiberpruefungDatum,"Datum der letzten Netzbetreiberprüfung, insofern eine durchgeführt wurde",date,2017-08-02
AnlagenbetreiberMastrNummer,MaStR-Nummer des Betreibers der Einheit,string,ABR91234567890
Land,Standort der Einheit: Land,string,Deutschland
Bundesland,Standort der Einheit: Bundesland,string,SachsenAnhalt
Landkreis,Standort der Einheit: Landkreis,string,Bördekreis
Gemeinde,Standort der Einheit: Gemeinde,string,Sülztal
Gemeindeschluessel,Standort der Einheit: Gemeindeschlüssel,string,15125414
Postleitzahl,Standort der Einheit: Postleitzahl,string,39179
Gemarkung,Standort der Einheit: Gemarkung,string,896-98
FlurFlurstuecknummern,Standort der Einheit: Flur und/oder Flurstücke,string,123-784
Strasse,Standort der Einheit: Straße,string,Holzweg
StrasseNichtGefunden,"Angabe, dass die angegebene Strasse nicht aus dem BKG-Adressdatenbestand stammt",boolean,false
Hausnummer,Standort der Einheit: Hausnummer,mastr:ErweiterterString,4
HausnummerNichtGefunden,"Angabe, dass die angegebene Hausnummer nicht aus dem BKG-Adressdatenbestand stammt",boolean,false
Adresszusatz,Standort der Einheit: Adresszusatz,string,Hinterhaus
Ort,Standort der Einheit: Ort,string,Langenweddingen
Laengengrad,Koordinaten der Einheit: Längengrad,decimal,51.254
Breitengrad,Koordinaten der Einheit: Breitengrad,decimal,12.597
UtmZonenwert,Koordinaten der Einheit: UTM-Zonenwert,int,32
UtmEast,Koordinaten der Einheit: UTM-Ost,decimal,672876
UtmNorth,Koordinaten der Einheit: UTM-Nord,decimal,5768696
GaussKruegerHoch,Koordinaten der Einheit: Gauß-Krüger-Hochwert,decimal,4467223.649
GaussKruegerRechts,Koordinaten der Einheit: Gauß-Krüger-Rechtswert,decimal,5767667.634
Meldedatum,Meldedatum der Gaserzeugungseinheit,date,2012-12-12
GeplantesInbetriebnahmedatum,Geplantes Inbetriebnahmedatum der Stromerzeugungsseinheit,date,2014-10-24
Inbetriebnahmedatum,Datum der Inbetriebnahme,date,1998-01-02
DatumEndgueltigeStilllegung,Datum der endgültigen Stilllegung der Einheit,date,2020-01-02
DatumBeginnVoruebergehendeStilllegung,Beginn der vorläufigen Stilllegung der Einheit,date,2014-02-04
DatumWiederaufnahmeBetrieb,Datum der Wiederaufnahme des Betriebs,date,2015-01-02
EinheitSystemstatus,Systemstatus der Einheit,string,Deaktiviert
EinheitBetriebsstatus_extended,Betriebsstatus der Einheit,string,InPlanung
BestandsanlageMastrNummer,Angaben über optional vorhandene MaStR-Nummer aus der Bestandsanlagenverwaltung,string,SEE91234567890
NichtVorhandenInMigriertenEinheiten_extended,Angabe über das Nichtvorhandensein in den migrierten Einheiten,boolean,true
AltAnlagenbetreiberMastrNummer,"MaStR-Nummer des ehemaligen Betreibers der Einheit, wenn ein Betreiberwechsel durchgeführt wurde",string,ABR91234567890
DatumDesBetreiberwechsels,Datum des realen Betreiberwechsels,date,2017-08-02
DatumRegistrierungDesBetreiberwechsels,Datum der Registrierung des Betreiberwechsels,date,2017-07-02
StatisikFlag,"Angabe, in welcher Statistik, diese Einheit geführt wird. A = Einheit ignorieren, B = Einheit in Statistiken verwenden.",string,B
EegMastrNummer_eeg,MaStR-Nummer der verknüpften Einheit,string,EEG91234567890
AnlagenschluesselEeg,Vom Netzbetreiber vergebene Kennziffer zur Identifikation der EEG-Anlage,string,E2325426
AnlagenkennzifferAnlagenregister,Anlagenkennziffer aus der Registrierungsbestätigung des Anlagenregister,mastr:ErweiterterString,B354453
InstallierteLeistung,Installierte Nettonennleistung der EEG-Anlage,decimal,1235.541
AusschliesslicheVerwendungBiomasse,Ausschließliche Verwendung von Biomasse im Sinne der Biomasse-Verordnung,boolean,true
AusschreibungZuschlag,Angabe ob für die EEG-Anlage Im Rahmen des Ausschreibungsverfahren der Bundesnetzagentur ein Zuschlag erlangt wurde,boolean,true
Zuschlagsnummer,Von der Bundesnetzagentur im Rahmen des Ausschreibungsverfahrens vergebene Nummern,string,A15847
BiogasInanspruchnahmeFlexiPraemie,Angabe ob für die Anlage Flexibilitätsprämie in anspruch genommen wird,boolean,true
BiogasDatumInanspruchnahmeFlexiPraemie,Datum der erstmaligen Inanspruchnahme der Flexibilitätsprämie,date,2014-12-31
BiogasLeistungserhoehung,"Angabe, ob die Leistung der Anlage im Zusammenhang mit der Flexibilitätsprämie erhöht wird",boolean,true
BiogasDatumLeistungserhoehung,Datum der Inbetriebnahme der Leistungserhöhung,date,2014-10-11
BiogasUmfangLeistungserhoehung,Umfang der Leistungserhöhung bei dieser Biogas-Anlage nach dem 31.07.2014,decimal,125.987
BiogasGaserzeugungskapazitaet,"Leistungsangabe: Kapazität an Gas, das erzeugt werden kann. Gasproduktionskapazität nach Genehmigungsbescheid, bzw. anhand der eingesetzten Inputstoffe.",mastr:ErweitertesDecimal,241.369
Hoechstbemessungsleistung,Höchstbemessungsleistung der Anlage,decimal,785.987
BiomethanErstmaligerEinsatz,Datum des erstmaligen ausschließlichen Einsatzes von Biomethan,mastr:ErweitertesDate,2013-12-14
AnlageBetriebsstatus,"Betriebsstatus der Anlage, welche sich aus den zugeordneten Einheiten ergibt",string,InPlanung
VerknuepfteEinheit,Die verknüpften Einheiten zu diesem Objekt,mastr:VerknuepfteEinheit,[OBJEKT]
Meldedatum_eeg,Meldedatum der EEG-Anlage,date,2012-12-31
DatumLetzteAktualisierung_eeg,Datum der letzten Aktualisierung an diesem Objekt,dateTime,2018-08-25T00:00:00.0000000
EegInbetriebnahmedatum,Inbetriebnahmedatum der EEG-Anlage,date,2012-12-31
KwkMastrNummer_kwk,MaStR-Nummer der verknüpften Einheit,string,KWK91234567890
AusschreibungZuschlag_kwk,Wurde für die KWK-Anlage Im Rahmen des Ausschreibungsverfahren der Bundesnetzagentur ein Zuschlag erlangt?,boolean,false
Zuschlagnummer,Von der Bundesnetzagentur im Rahmen des Ausschreibungsverfahrens vergebene Nummer.,string,A1234
DatumLetzteAktualisierung_kwk,Datum der letzten Aktualisierung an diesem Objekt,dateTime,2017-07-25T08:36:54.1004464
Inbetriebnahmedatum_kwk,Inbetriebnahmedatum der KWK-Anlage,date,2012-12-31
Meldedatum_kwk,Meldedatum der KWK-Anlage,date,2012-12-31
ThermischeNutzleistung,"Die höchste Nutzwärmeerzeugung unter Nennbedingungen, die die KWKG-Anlage abgeben kann.",decimal,12.54
ElektrischeKwkLeistung,Die höchste an den Generatorklemmen abgebbare elektrische Wirkleistung der Anlage,decimal,41.45
VerknuepfteEinheiten_kwk,Liste von MaStR Nummern mit den verknüpften Stromerzeugern,mastr:VerknuepfteEinheit,SEE91234567890 Verbrennung
AnlageBetriebsstatus_kwk,"Betriebsstatus der Anlage, welche sich aus den zugeordneten Einheiten ergibt",string,INPLANUNG
GenMastrNummer_permit,MaStR-Nummer der Genehmigung,string,GEN91234567890
DatumLetzteAktualisierung_permit,Datum der letzten Aktualisierung an diesem Objekt,dateTime,2017-07-25T08:36:54.1004464
Art,Art der Genehmigung,string,NachBImSchG13BImSchV
Datum,"Datum, ab dem die Genehmigung für Bau oder Betrieb der Stromerzeugungseinheit erteilt ist",date,2017-08-03
Behoerde,"Behörde, die Genehmigung ausgestellt hat",string,Gericht Suhl
Aktenzeichen,"Aktenzeichen der Genehmigung, welche die Genehmigungsbehörde vergeben hat",string,2016/141547/245636
Frist,"Datum, bis zu dem gemäß der Genehmigung mit der Errichtung oder dem Betrieb der Anlage begonnen werden muss",mastr:ErweitertesDate,2018-01-02
WasserrechtsNummer,Nummer der wasserrechtlichen Genehmigung,string,W3253455G
WasserrechtAblaufdatum,"Datum, an dem die wasserrechtliche Genehmigung abläuft",mastr:ErweitertesDate,2019-02-09
Meldedatum_permit,Meldedatum der Genehmigung,date,2012-12-12
VerknuepfteEinheiten,Mit dieser Genehmigung verknüpfte Einheiten,mastr:VerknuepfteEinheit,.
